"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2re6FKxMAOBgQMl0V58U0p","How Long?","spotify:artist:0XJWvnyCnDWLFZH4R1aNVt","Nobody47","spotify:album:1y9TyKjahZtArIRZg89q2u","Suddenly","spotify:artist:0XJWvnyCnDWLFZH4R1aNVt","Nobody47","2021-01-23","https://i.scdn.co/image/ab67616d0000b27329250bd8334e1f460069c7cd","1","1","52620","https://p.scdn.co/mp3-preview/1de0d435327ee4d72076769ff08e43be5623b74e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZFZ22193825","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:2YD16IfrlnbEOsIQyJLsSV","תהליל ליולדת","spotify:artist:3EQL62TTyZjlpKDr4k3vXJ","Youval Taieb","spotify:album:0RVTQXi6kIyR8NIK2pkhKp","תהליל","spotify:artist:3EQL62TTyZjlpKDr4k3vXJ","Youval Taieb","2014-01-01","https://i.scdn.co/image/ab67616d0000b2739e95762cd688b40af37cf896","1","5","330311","https://p.scdn.co/mp3-preview/a14829c8de3f4a94d7a9242db7ffdcaf10378a91?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","FRX991595319","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:1me15zT6UeVlg8cyy2h4an","Fais pas cette tête là","spotify:artist:3oje7VFSEa4S9FSmuxyC5Q","Les sheriff","spotify:album:1rBEDV69auJ2Y1HbtTYLYL","Les 2 doigts dans la prise","spotify:artist:3oje7VFSEa4S9FSmuxyC5Q","Les sheriff","1988-01-01","https://i.scdn.co/image/ab67616d0000b273cdcf82b1ce3203b28f454d97","2","8","171800","https://p.scdn.co/mp3-preview/a9d7bf9480a42e5b8727e696cad7cc13f1ef634e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","FR6V80907937","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:7lJbaFcKZgvs8psvHAdv86","Chile - Culture Smart! - The Essential Guide to Customs & Culture, Chapter 13","spotify:artist:5mRRpzosARSTNf2X1XkmKA","Caterina Perrone","spotify:album:3kFiM0DymGzWvt9jErK12r","Chile - Culture Smart! - The Essential Guide to Customs & Culture (Unabridged)","spotify:artist:5mRRpzosARSTNf2X1XkmKA","Caterina Perrone","2016-05-31","https://i.scdn.co/image/ab67616d0000b273c6cbd54e776da3c2e9e6c943","1","13","170513","","false","0","DEXN91858832","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:58hZyHc2RTF5DFa6syw6nu","Daramad Afshari","spotify:artist:0ddg5jUzA8On1zvedQ102U, spotify:artist:0aqrlKwdALNH69WSmGF7Xf","Shahram Mirjalali, Reza Torshizi","spotify:album:0OEZ22wt0eyJbzvazeuZuJ","Narges Fetan","spotify:artist:0ddg5jUzA8On1zvedQ102U, spotify:artist:0aqrlKwdALNH69WSmGF7Xf","Shahram Mirjalali, Reza Torshizi","2018-09-11","https://i.scdn.co/image/ab67616d0000b2735d78271fb024165bfe6b2852","1","9","134546","https://p.scdn.co/mp3-preview/5c1621f5100c48eccdd47d2ac63d0d16fd3d45ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM6N21844028","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:16NVUHX0Gz4I78BmzRThOi","I'm an Old Cowhand","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","spotify:album:1xHWXdZyz4NcY4E4hcSWFc","The Music Of","spotify:artist:7LfRnzGM0wRSyS5mmAwJbv","Ray Conniff","2016-04-29","https://i.scdn.co/image/ab67616d0000b273579d35aecf2a4524717c74e1","1","20","171906","","false","0","DEZ651371348","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:56t0Bb0P5BH9W18Y2R1XQw","Can I Ride Your Horse","spotify:artist:34gG1ZRsNDiVo7xF2PQgi3","Cong Shu","spotify:album:7CKe2uValqZjsYwupInB8K","Sun Breaking Western (Original Motion Picture Soundtrack)","spotify:artist:34gG1ZRsNDiVo7xF2PQgi3","Cong Shu","2016-08-26","https://i.scdn.co/image/ab67616d0000b2737109eca2fceee293fc1d8cdc","1","5","194011","","false","0","TCACR1641122","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3bHaK0ME0RHQQXqerGAae7","Fosterlandssånger","spotify:artist:6oR29GMMjXQ5aZCM8LwYB3","Anders F. Rönnblom","spotify:album:4BCGQ01U6kzcZUXmFgDe1Z","BLÄRK! Nya Fosterlandssånger","spotify:artist:6oR29GMMjXQ5aZCM8LwYB3","Anders F. Rönnblom","2019-09-27","https://i.scdn.co/image/ab67616d0000b273d3cb15dc239690bce5753a15","1","8","254426","https://p.scdn.co/mp3-preview/6b2731212cd2e0eba4be51c9e6ac13a3ef8fcb9a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SE5HM1900108","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:4viDdQ2ugrTM0F3hqdvnLA","Paretoume","spotify:artist:4tjR6D4OQlEx4um81ziGGw","Andreas Kapsis","spotify:album:0WeEcggbCphcqeHo7pWouu","Kardies pou agapane","spotify:artist:4tjR6D4OQlEx4um81ziGGw","Andreas Kapsis","1992-02-14","https://i.scdn.co/image/ab67616d0000b27344029409c0d20560ebfd5cff","1","5","223973","https://p.scdn.co/mp3-preview/a2a0bd061b4f83948b4a9c96b97f79b558497888?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QM6MZ1913552","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:30E54k7KApDqSwWMa6kLOF","Fly with Me Seven","spotify:artist:73JMNOda9Bgo3dwsr6yIX6","Pinterpan","spotify:album:3xXqW1qUK2zQu4c5eREUHD","Fly with Me","spotify:artist:73JMNOda9Bgo3dwsr6yIX6","Pinterpan","2023-10-30","https://i.scdn.co/image/ab67616d0000b273e7aeb053d0c5671b06c0ee1c","1","9","82337","","false","0","AEA0Q2338687","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3aKleSlPjhPr9a2owUHbLc","Часть 18.4 & Часть 19.1 - Страшно трусливая история","spotify:artist:0VXUjKs4HEvWbDSe9p7B6B","Оксана Иванова","spotify:album:5GWWlX59jOCAyM5XIdnl3f","Страшно трусливая история","spotify:artist:0VXUjKs4HEvWbDSe9p7B6B","Оксана Иванова","2023-04-10","https://i.scdn.co/image/ab67616d0000b27346d0a35a8cde6d1c6fdb9c23","1","60","185597","","false","0","DEWM20170587","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
"spotify:track:3vN7xIUwOXUzuTQPB0P8u1","Protective","spotify:artist:2X3TjEBMwZtQPWu3zIeUya","STYGG","spotify:album:3zXfRvLDG6HjJk44vvfYc7","Get thee behind me Satan","spotify:artist:2X3TjEBMwZtQPWu3zIeUya","STYGG","2011-01-01","https://i.scdn.co/image/ab67616d0000b2730aa4a9ac5a216c01bc899248","1","8","194000","","false","0","SEVTP1000208","spotify:user:glennpmcdonald","2024-06-03T15:48:57Z"
